PBT_RELEASE_GROUP	PBT_RELEASE_GROUP_TAGRATE	y	c1	c2	c3	c4
2015-PAHH-PAH-PahsimeroiR-IntSmolt	0.8667	2015	PAHH	PAH	PahsimeroiR	IntSmolt
2015-LYON-TUCW-Tucannon	0.32	2015	LYON	TUCW	Tucannon	NA
2015-CLWH-Powell-ClearCr-AD	0.9859	2015	CLWH	Powell	ClearCr	AD
2015-CLWH-POWELL-SelwayR-AD	0.95	2015	CLWH	POWELL	SelwayR	AD
2015-CLWH-POWELL-SelwayR-AD/Adint	0.95	2015	CLWH	POWELL	SelwayR	AD/Adint
2015-KOOS-DWOR-ClearCr	0.9764	2015	KOOS	DWOR	ClearCr	NA
2015-DWOR-DWOR-ClearwaterR	0.992	2015	DWOR	DWOR	ClearwaterR	NA
2015-CLWH-ClearCr-ClearCr-AD	0.9885	2015	CLWH	ClearCr	ClearCr	AD
2015-CLWH-DWOR-NFClearwaterR-AD	0.9787	2015	CLWH	DWOR	NFClearwaterR	AD
2015-NPFH-DWOR-Clearwater-Parr	1	2015	NPFH	DWOR	Clearwater	Parr
2015-NPFH-DWOR-LoloCr-Parr	1	2015	NPFH	DWOR	LoloCr	Parr
2015-DWOR-DWOR-Selway-Parr	1	2015	DWOR	DWOR	Selway	Parr
2015-NPFH-NPFH-unknown	0.9553	2015	NPFH	NPFH	unknown	NA
2015-LOOK-LKGW-LookingGlass	0.9733	2015	LOOK	LKGW	LookingGlass	NA
2015-LOOK-CTHW-CatherineCr	1	2015	LOOK	CTHW	CatherineCr	NA
2015-LOOK-LSTW-Lostine	0.5833	2015	LOOK	LSTW	Lostine	NA
2015-LOOK-IMNW-Imnaha	0.9344	2015	LOOK	IMNW	Imnaha	NA
2015-LOOK-GRUW-GrandeRonde	0.9545	2015	LOOK	GRUW	GrandeRonde	NA
2015-CLWH-SFCLW-RedR-AD	0.9908	2015	CLWH	SFCLW	RedR	AD
2015-CLWH-SFCLW-SFClearwater-Fry	0.9885	2015	CLWH	SFCLW	SFClearwater	Fry
2015-CLWH-SFCLW-Selway-Fry	1	2015	CLWH	SFCLW	Selway	Fry
2015-CLWH-SFCLW-SelwayR-AD	0.963	2015	CLWH	SFCLW	SelwayR	AD
2015-MCCA-SFSAL-SFSalmonR-SegSmolt	0.9664	2015	MCCA	SFSAL	SFSalmonR	SegSmolt
2015-MCCA-SFSAL-CabinCr-SacFry	0.9733	2015	MCCA	SFSAL	CabinCr	SacFry
2015-CLWH-SFSAL-Powell-AD	1	2015	CLWH	SFSAL	Powell	AD
2015-CLWH-SFSAL-Powell-Adint	0.9778	2015	CLWH	SFSAL	Powell	Adint
2015-CLWH-SFSAL-SelwayR-Parr	0.9722	2015	CLWH	SFSAL	SelwayR	Parr
2015-MCCA-SFSAL-SFSalmonR-IntSmolt	0.9773	2015	MCCA	SFSAL	SFSalmonR	IntSmolt
2015-MCCA-JHNW-JohnsonCr	0.931	2015	MCCA	JHNW	JohnsonCr	NA
2016-SAWT-SAW-UpperSalmonR-SegSmolt	0.9952	2016	SAWT	SAW	UpperSalmonR	SegSmolt
2016-SAWT-SAW-UpperSalmonR-IntSmolt	1	2016	SAWT	SAW	UpperSalmonR	IntSmolt
2016-SAWT-SAW-YankeeForkSalmonR-Smolt	1	2016	SAWT	SAW	YankeeForkSalmonR	Smolt
2016-SBT-Pahsimeroi-EggBox	1	2016	SBT	Pahsimeroi	EggBox	NA
2016-PAHH-PAH-PahsimeroiR-SegSmolt	0.9959	2016	PAHH	PAH	PahsimeroiR	SegSmolt
2016-PAHH-PAH-PahsimeroiR-IntSmolt	1	2016	PAHH	PAH	PahsimeroiR	IntSmolt
2016-MCCA-SFSAL-SFSalmonR-SegSmolt	0.9886	2016	MCCA	SFSAL	SFSalmonR	SegSmolt
2016-MCCA-SFSAL-SFSalmonR-IntSmolt	0.9773	2016	MCCA	SFSAL	SFSalmonR	IntSmolt
2016-CLWH-SFSAL-Powell-AD	0.9844	2016	CLWH	SFSAL	Powell	AD
2016-RAPH-RAPH-RapidR	0.9779	2016	RAPH	RAPH	RapidR	NA
2016-LYON-TUCW-Tucannon	0.8472	2016	LYON	TUCW	Tucannon	NA
2016-CLWH-Powell-Powell-Adint	0.9908	2016	CLWH	Powell	Powell	Adint
2016-CLWH-Powell-Powell-AD	1	2016	CLWH	Powell	Powell	AD
2016-CLWH-SFCLW-RedR	0.9915	2016	CLWH	SFCLW	RedR	NA
2016-CLWH-DWOR-NFClearwaterR-AD	0.9543	2016	CLWH	DWOR	NFClearwaterR	AD
2016-CLWH-DWOR-SelwayR-AD	0.9911	2016	CLWH	DWOR	SelwayR	AD
2016-CLWH-ClearCr-ClearCr	0.9818	2016	CLWH	ClearCr	ClearCr	NA
2016-KOOS-SFCLW-ClearCr	1	2016	KOOS	SFCLW	ClearCr	NA
2016-DWOR-DWOR-ClearwaterR	0.9914	2016	DWOR	DWOR	ClearwaterR	NA
2016-KOOS-KOOS-ClearCr	0.9777	2016	KOOS	KOOS	ClearCr	NA
2016-NPFH-NPFH-unknown	0.9919	2016	NPFH	NPFH	unknown	NA
2016-LOOK-LKGW-LookingGlass	0.961	2016	LOOK	LKGW	LookingGlass	NA
2016-LOOK-CTHW-CatherineCr	0.7632	2016	LOOK	CTHW	CatherineCr	NA
2016-LOOK-LSTW-Lostine	0.8108	2016	LOOK	LSTW	Lostine	NA
2016-LOOK-IMNW-Imnaha	0.9909	2016	LOOK	IMNW	Imnaha	NA
2016-LOOK-GRUW-GrandeRonde	0.971	2016	LOOK	GRUW	GrandeRonde	NA
2017-LOOK-IMNW-Imnaha	0.904	2017	LOOK	IMNW	Imnaha	NA
