Expansion Reference,Hatchery,Release Site,Migr. Year,Hatch. Release,Total PIT Release,PIT Release RAL,RAL Expansion,Row,PTAGIS RelSite,Random
2007DWORNF0,Dworshak,NF-DHFH,2007,"963,211","104,193","31,174",1.0,9,DWORNF,0
2008DWORNF0,Dworshak,NF-DHFH,2008,"939,000","49,384","34,729",1.0,10,DWORNF,0
2006POWP0,Clearwater Hat.,Powell,2006,"423,633","14,967","13,470",1.0,11,POWP,0
2007POWP0,Clearwater Hat.,Powell,2007,"373,977","14,971","13,474",1.0,12,POWP,0
2008POWP0,Clearwater Hat.,Powell,2008,"223,714","33,741","31,341",1.0,13,POWP,0
2006REDP0,Clearwater Hat.,Red,2006,"423,603","14,973","13,476",1.0,14,REDP,0
2007REDP0,Clearwater Hat.,Red,2007,"375,759","14,978","13,480",1.0,15,REDP,0
2008REDP0,Clearwater Hat.,Red,2008,"424,719","11,985","10,805",1.0,16,REDP,0
2006CROOKR0,Clearwater Hat.,Crooked,2006,"608,472","14,978","13,480",1.0,17,CROOKR,0
2007CROOKR0,Clearwater Hat.,Crooked,2007,"517,092","14,969","13,472",1.0,18,CROOKR,0
2008CROTRP0,Clearwater Hat.,Crooked,2008,"566,752","11,987","10,789",1.0,19,CROTRP,0
2006SELWY10,Clearwater Hat.,Selway,2006,"209,842",0,0,1.0,20,SELWY1,0
2007SELWY10,Clearwater Hat.,Selway,2007,"179,432",0,0,1.0,21,SELWY1,0
2008SELWY10,Clearwater Hat.,Selway,2008,"205,659","8,974","8,095",1.0,22,SELWY1,0
2007SAWT0,Sawtooth,Weir,2007,"995,262","14,970","13,473",1.0,23,SAWT,0
2008SAWT0,Sawtooth,Weir,2008,"174,132","14,961","13,466",1.0,24,SAWT,0
2008PAHP0,Pahsimeroi,Ponds,2008,"1,037,772",14833,13350,1.0,25,PAHP,0
2006KOOS0,Kooskia,Clear Cr,2006,"630,000",800,0,1.0,26,KOOS,0
2007KOOS0,Kooskia,Clear Cr,2007,"569,565","9,943","9,892",1.0,27,KOOS,0
2008KOOS0,Kooskia,Clear Cr,2008,"649,601","9,935","9,900",1.0,28,KOOS,0
2006SAWT0,Sawtooth,Weir,2006,"1,552,444",500,0,1.0,29,SAWT,0
2007PAHP0,Pahsimeroi,Ponds,2007,"978,463",498,0,1.0,30,PAHP,0
2006PAHP0,Pahsimeroi,Ponds,2006,"1,073,951",298,0,1.0,31,PAHP,0
2009KNOXB0,McCall,SFSR-Knox,2009,"1,106,700","51,496","36,146",1.0,32,KNOXB,0
2009RAPH0,Rapid River,Rapid R. Hat,2009,"2,503,711","51,774","36,189",1.0,33,RAPH,0
2009DWORNF0,Dworshak,NF-DHFH,2009,"1,014,748","51,599","36,245",1.0,34,DWORNF,0
2009POWP0,Clearwater Hat.,Powell,2009,"404,115","11,985","9,019",1.0,35,POWP,0
2009REDP0,Clearwater Hat.,Red,2009,"404,856","15,092","11,356",1.0,36,REDP,0
2009CROOKR0,Clearwater Hat.,Crooked,2009,"703,101","15,089","11,354",1.0,37,CROOKR,0
2009SELWY10,Clearwater Hat.,Selway,2009,"299,707","9,981","7,511",1.0,38,SELWY1,0
2009CLEARC0,Clearwater Hat.,Clear Cr,2009,"234,151","11,556","8,696",1.0,39,CLEARC,0
2009SAWT0,Sawtooth,Weir,2009,"274,644","18,671","13,503",1.0,40,SAWT,0
2009PAHP0,Pahsimeroi,Ponds,2009,"870,842","18,750","13,500",1.0,41,PAHP,0
2009KOOS0,Kooskia,Clear Cr,2009,"603,679","11,580","9,910",1.0,42,KOOS,0
2010KNOXB0,McCall,SFSR-Knox,2010,"1,037,600","51,875","36,374",1.0,43,KNOXB,0
2010RAPH0,Rapid River,Rapid R. Hat,2010,"2,492,454","51,939","36,424",1.0,44,RAPH,0
2010DWORNF0,Dworshak,NF-DHFH,2010,"1,109,195","51,880","36,378",1.0,45,DWORNF,0
2010POWP0,Clearwater Hat.,Powell,2010,"413,158","18,182","12,728",1.0,46,POWP,0
2010REDP0,Clearwater Hat.,Red,2010,"1,206,110","18,175","12,723",1.0,47,REDP,0
2010SELWY10,Clearwater Hat.,Selway ,2010,"402,160","18,188","12,732",1.0,48,SELWY1,0
2010CLEARC0,Clearwater Hat.,Clear Cr,2010,"229,605","18,178","12,725",1.0,49,CLEARC,0
2010SAWT0,Sawtooth,Weir,2010,"1,455,634","16,939","11,877",1.0,50,SAWT,0
2010YANKFK0,Sawtooth,Yankee Fork,2010,"398,444","4,344","3,047",1.0,51,YANKFK,0
2010PAHP0,Pahsimeroi,Ponds,2010,"1,169,701","21,379","14,965",1.0,52,PAHP,0
2010KOOS0,Kooskia,Clear Cr,2010,"632,330","14,543","13,791",1.0,53,KOOS,0
2011KNOXB0,McCall,SFSR-Knox,2011,"1,069,028","51,878","36,415",1.0,54,KNOXB,0
2011RAPH0,Rapid River,Rapid R. Hat,2011,"2,483,181","51,730","36,331",1.0,55,RAPH,0
2011DWORNF0,Dworshak,NF-DHFH,2011,"1,078,250","51,915","36,407",1.0,56,DWORNF,0
2011POWP0,Clearwater Hat.,Powell,2011,"413,757","17,089","11,965",1.0,57,POWP,0
2011REDP0,Clearwater Hat.,Red,2011,"1,114,760","17,060","11,939",1.0,58,REDP,0
2011SELWY10,Clearwater Hat.,Selway / All,2011,"414,270","17,083","11,958",1.0,59,SELWY1,0
2011CLEARC0,Clearwater Hat.,Clear Cr,2011,"291,604","17,095","11,966",1.0,60,CLEARC,0
2011CROOKR0,Clearwater Hat.,Crooked R.,2011,"204,061","25,488","17,841",1.0,61,CROOKR,0
2011SAWT0,Sawtooth,Weir,2011,"1,337,302","18,968","13,277",1.0,62,SAWT,0
2011YANKFK0,Sawtooth,Yankee Fork,2011,"397,877","2,397","1,678",1.0,63,YANKFK,0
2011PAHP0,Pahsimeroi,Ponds,2011,"1,030,028","21,131","14,797",1.0,64,PAHP,0
2011KOOS0,Kooskia,Clear Cr,2011,"657,267","13,932","12,969",1.0,65,KOOS,0
2011NPTH0,NPTH,NPTH,2011,"251,625","6,244","5,946",1.0,66,NPTH,0
2012KNOXB0,McCall,SFSR-Knox,2012,"787,088","25,955","18,237",1.0,67,KNOXB,0
2012RAPH0,Rapid River,Rapid R. Hat,2012,"2,498,197","51,938","36,431",1.0,68,RAPH,0
2012DWORNF0,Dworshak,NF-DHFH,2012,"1,044,080","51,787","35,953",1.0,69,DWORNF,0
2012POWP0,Clearwater Hat.,Powell,2012,"407,970","17,121","12,034",1.0,70,POWP,0
2012REDP0,Clearwater Hat.,Red,2012,"1,122,939","17,045","11,953",1.0,71,REDP,0
2012SELWY10,Clearwater Hat.,Selway / All,2012,"415,369","16,978","11,889",1.0,72,SELWY1,0
2012CLEARC0,Clearwater Hat.,Clear Cr,2012,"234,511","17,087","11,964",1.0,73,CLEARC,0
2012CROOKR0,Clearwater Hat.,Crooked R.,2012,"206,317","25,482","17,846",1.0,74,CROOKR,0
2012SAWT0,Sawtooth,Weir,2012,"1,080,164","18,051","12,635",1.0,75,SAWT,0
2012YANKFK0,Sawtooth,Yankee Fork,2012,"197,036","3,381","2,372",1.0,76,YANKFK,0
2012PAHP0,Pahsimeroi,Ponds,2012,"847,580","21,362","14,964",1.0,77,PAHP,0
2012KOOS0,Kooskia,Clear Cr,2012,"619,865","15,022","13,971",1.0,78,KOOS,0
2013KNOXB0,McCall (Seg),SFSR-Knox,2013,"821,001","27,952","18,152",1.0,79,KNOXB,0
2013RAPH0,Rapid River,Rapid R. Hat,2013,"2,497,668","51,899","36,370",1.0,80,RAPH,0
2013DWORNF0,Dworshak,NF-DHFH,2013,"1,377,508","51,801","36,372",1.0,81,DWORNF,0
2013POWP0,Clearwater Hat.,Powell,2013,"408,421","17,059","11,906",1.0,82,POWP,0
2013REDP0,Clearwater Hat.,Red,2013,"1,085,486","16,850","11,856",1.0,83,REDP,0
2013SELWY10,Clearwater Hat.,Selway - Ad,2013,"293,663","17,063","12,004",1.0,84,SELWY1,0
2013CLEARC0,Clearwater Hat.,Clear Cr,2013,"378,083","17,083","12,010",1.0,85,CLEARC,0
2013CROOKR0,Clearwater Hat.,Crooked R.,2013,"208,447","25,451","17,825",1.0,86,CROOKR,0
2013SAWT0,Sawtooth,Weir,2013,"652,732","21,282","14,899",1.0,87,SAWT,0
2013PAHP0,Pahsimeroi,Ponds,2013,"838,664","21,393","14,975",1.0,88,PAHP,0
2013KOOS0,Kooskia - Ad,Clear Cr,2013,"630,308","14,237","12,781",1.0,89,KOOS,0
2013KNOXB90,McCall (Int),SFSR-Knox,2013,"253,849","25,952","18,208",1.0,90,KNOXB,90
2012KNOXB90,McCall (Int),SFSR-Knox,2012,"241,265","25,962","18,102",1.0,91,KNOXB,90
2011IMNAHW0,Imnaha (Volitional),Imnaha Weir,2011,"252,588","20,757","14,570",1.0,92,IMNAHW,0
2012IMNAHW0,Imnaha (Volitional),Imnaha Weir,2012,"332,877","14,881","10,430",1.0,93,IMNAHW,0
2012IMNAHR0,Imnaha (Direct),Imnaha River,2012,"136,933","5,938","4,120",1.0,94,IMNAHR,0
2013IMNAHW0,Imnaha (Volitional),Imnaha Weir,2013,"223,626","11,956","8,367",1.0,95,IMNAHW,0
2013IMNAHR0,Imnaha (Direct),Imnaha River,2013,"166,979","8,940","6,272",1.0,96,IMNAHR,0
2014KNOXB0,McCall (Seg),SFSR-Knox,2014,"813,873","27,925","18,175",1.0,97,KNOXB,0
2014KNOXB90,McCall (Int),SFSR-Knox,2014,"234,012","25,947","18,129",1.0,98,KNOXB,90
2014RAPH0,Rapid River,Rapid R. Hat,2014,"2,498,849","51,974","36,423",1.0,99,RAPH,0
2014DWORNF0,Dworshak,NF-DHFH,2014,"2,040,460","51,672","36,233",1.0,100,DWORNF,0
2014POWP0,Clearwater Hat.,Powell (summers),2014,"492,244","25,470","17,830",1.0,101,POWP,0
2014REDP0,Clearwater Hat.,Red,2014,"1,190,867","17,082","11,959",1.0,102,REDP,0
2014SELWY10,Clearwater Hat.,Selway,2014,"410,025","17,085","11,959",1.0,103,SELWY1,0
2014CLEARC0,Clearwater Hat.,Clear Cr ,2014,"800,921","21,887","15,320",1.0,104,CLEARC,0
2014SAWT0,Sawtooth,Weir,2014,"1,559,698","18,976","13,283",1.0,105,SAWT,0
2014PAHP0,Pahsimeroi,Ponds,2014,"827,321","21,376","14,963",1.0,106,PAHP,0
2014KOOS0,Kooskia - Ad,Clear Cr,2014,"628,007","12,261","8,584",1.0,107,KOOS,0
2014YANKFK0,Sawtooth,Yankee Fork,2014,"192,577","2,398","1,679",1.0,108,YANKFK,0
2015KNOXB0,McCall (Seg),SFSR-Knox,2015,"867,469"," 25,937 ","18,125",1.0,109,KNOXB,0
2015KNOXB90,McCall (Int),SFSR-Knox,2015,"254,817"," 25,969 ","18,190",1.0,110,KNOXB,90
2015RAPH0,Rapid River,Rapid R. Hat,2015,"2,499,975"," 51,931 ","36,390",1.0,111,RAPH,0
2015DWORNF0,Dworshak,NF-DHFH,2015,"1,549,263","41,774","29,292",1.0,112,DWORNF,0
2015POWP0,Clearwater Hat.,Powell (summers),2015,"528,410","25,477","17,846",1.0,113,POWP,0
