Expansion Reference,Hatchery,Release Site,Migr. Year,Hatch. Release,Total PIT Release,PIT Release RAL,RAL Expansion,Row,PTAGIS RelSite,Random
2007PAHP1,Pahsimeroi,Ponds,2007,"978,463",498,0,0.0,30,PAHP,1
2006PAHP1,Pahsimeroi,Ponds,2006,"1,073,951",298,0,0.0,31,PAHP,1
2009KNOXB1,McCall,SFSR-Knox,2009,"1,106,700","51,496","36,146",30.2,32,KNOXB,1
2009RAPH1,Rapid River,Rapid R. Hat,2009,"2,503,711","51,774","36,189",68.8,33,RAPH,1
2009DWORNF1,Dworshak,NF-DHFH,2009,"1,014,748","51,599","36,245",27.6,34,DWORNF,1
2009POWP1,Clearwater Hat.,Powell,2009,"404,115","11,985","9,019",44.5,35,POWP,1
2009REDP1,Clearwater Hat.,Red,2009,"404,856","15,092","11,356",35.3,36,REDP,1
2009CROOKR1,Clearwater Hat.,Crooked,2009,"703,101","15,089","11,354",61.6,37,CROOKR,1
2009SELWY11,Clearwater Hat.,Selway,2009,"299,707","9,981","7,511",39.6,38,SELWY1,1
2009CLEARC1,Clearwater Hat.,Clear Cr,2009,"234,151","11,556","8,696",26.6,39,CLEARC,1
2009SAWT1,Sawtooth,Weir,2009,"274,644","18,671","13,503",20.0,40,SAWT,1
2009PAHP1,Pahsimeroi,Ponds,2009,"870,842","18,750","13,500",64.1,41,PAHP,1
2009KOOS1,Kooskia,Clear Cr,2009,"603,679","11,580","9,910",60.7,42,KOOS,1
2010KNOXB1,McCall,SFSR-Knox,2010,"1,037,600","51,875","36,374",28.1,43,KNOXB,1
2010RAPH1,Rapid River,Rapid R. Hat,2010,"2,492,454","51,939","36,424",68.0,44,RAPH,1
2010DWORNF1,Dworshak,NF-DHFH,2010,"1,109,195","51,880","36,378",30.1,45,DWORNF,1
2010POWP1,Clearwater Hat.,Powell,2010,"413,158","18,182","12,728",32.0,46,POWP,1
2010REDP1,Clearwater Hat.,Red,2010,"1,206,110","18,175","12,723",94.4,47,REDP,1
2010SELWY11,Clearwater Hat.,Selway ,2010,"402,160","18,188","12,732",31.2,48,SELWY1,1
2010CLEARC1,Clearwater Hat.,Clear Cr,2010,"229,605","18,178","12,725",17.6,49,CLEARC,1
2010SAWT1,Sawtooth,Weir,2010,"1,455,634","16,939","11,877",122.1,50,SAWT,1
2010YANKFK1,Sawtooth,Yankee Fork,2010,"398,444","4,344","3,047",130.3,51,YANKFK,1
2010PAHP1,Pahsimeroi,Ponds,2010,"1,169,701","21,379","14,965",77.7,52,PAHP,1
2010KOOS1,Kooskia,Clear Cr,2010,"632,330","14,543","13,791",45.8,53,KOOS,1
2011KNOXB1,McCall,SFSR-Knox,2011,"1,069,028","51,878","36,415",28.9,54,KNOXB,1
2011RAPH1,Rapid River,Rapid R. Hat,2011,"2,483,181","51,730","36,331",67.9,55,RAPH,1
2011DWORNF1,Dworshak,NF-DHFH,2011,"1,078,250","51,915","36,407",29.2,56,DWORNF,1
2011POWP1,Clearwater Hat.,Powell,2011,"413,757","17,089","11,965",34.2,57,POWP,1
2011REDP1,Clearwater Hat.,Red,2011,"1,114,760","17,060","11,939",92.9,58,REDP,1
2011SELWY11,Clearwater Hat.,Selway / All,2011,"414,270","17,083","11,958",34.2,59,SELWY1,1
2011CLEARC1,Clearwater Hat.,Clear Cr,2011,"291,604","17,095","11,966",23.9,60,CLEARC,1
2011CROOKR1,Clearwater Hat.,Crooked R.,2011,"204,061","25,488","17,841",11.0,61,CROOKR,1
2011SAWT1,Sawtooth,Weir,2011,"1,337,302","18,968","13,277",100.3,62,SAWT,1
2011YANKFK1,Sawtooth,Yankee Fork,2011,"397,877","2,397","1,678",236.7,63,YANKFK,1
2011PAHP1,Pahsimeroi,Ponds,2011,"1,030,028","21,131","14,797",69.2,64,PAHP,1
2011KOOS1,Kooskia,Clear Cr,2011,"657,267","13,932","12,969",50.6,65,KOOS,1
2011NPTH1,NPTH,NPTH,2011,"251,625","6,244","5,946",42.3,66,NPTH,1
2012KNOXB1,McCall,SFSR-Knox,2012,"787,088","25,955","18,237",42.7,67,KNOXB,1
2012RAPH1,Rapid River,Rapid R. Hat,2012,"2,498,197","51,938","36,431",68.1,68,RAPH,1
2012DWORNF1,Dworshak,NF-DHFH,2012,"1,044,080","51,787","35,953",28.6,69,DWORNF,1
2012POWP1,Clearwater Hat.,Powell,2012,"407,970","17,121","12,034",33.5,70,POWP,1
2012REDP1,Clearwater Hat.,Red,2012,"1,122,939","17,045","11,953",93.5,71,REDP,1
2012SELWY11,Clearwater Hat.,Selway / All,2012,"415,369","16,978","11,889",34.5,72,SELWY1,1
2012CLEARC1,Clearwater Hat.,Clear Cr,2012,"234,511","17,087","11,964",19.2,73,CLEARC,1
2012CROOKR1,Clearwater Hat.,Crooked R.,2012,"206,317","25,482","17,846",11.1,74,CROOKR,1
2012SAWT1,Sawtooth,Weir,2012,"1,080,164","18,051","12,635",85.1,75,SAWT,1
2012YANKFK1,Sawtooth,Yankee Fork,2012,"197,036","3,381","2,372",82.6,76,YANKFK,1
2012PAHP1,Pahsimeroi,Ponds,2012,"847,580","21,362","14,964",56.2,77,PAHP,1
2012KOOS1,Kooskia,Clear Cr,2012,"619,865","15,022","13,971",44.3,78,KOOS,1
2013KNOXB1,McCall (Seg),SFSR-Knox,2013,"821,001","27,952","18,152",44.7,79,KNOXB,1
2013RAPH1,Rapid River,Rapid R. Hat,2013,"2,497,668","51,899","36,370",68.2,80,RAPH,1
2013DWORNF1,Dworshak,NF-DHFH,2013,"1,377,508","51,801","36,372",37.4,81,DWORNF,1
2013POWP1,Clearwater Hat.,Powell,2013,"408,421","17,059","11,906",33.9,82,POWP,1
2013REDP1,Clearwater Hat.,Red,2013,"1,085,486","16,850","11,856",91.1,83,REDP,1
2013SELWY11,Clearwater Hat.,Selway - Ad,2013,"293,663","17,063","12,004",24.0,84,SELWY1,1
2013CLEARC1,Clearwater Hat.,Clear Cr,2013,"378,083","17,083","12,010",31.1,85,CLEARC,1
2013CROOKR1,Clearwater Hat.,Crooked R.,2013,"208,447","25,451","17,825",11.3,86,CROOKR,1
2013SAWT1,Sawtooth,Weir,2013,"652,732","21,282","14,899",43.4,87,SAWT,1
2013PAHP1,Pahsimeroi,Ponds,2013,"838,664","21,393","14,975",55.6,88,PAHP,1
2013KOOS1,Kooskia - Ad,Clear Cr,2013,"630,308","14,237","12,781",49.2,89,KOOS,1
2013KNOXB91,McCall (Int),SFSR-Knox,2013,"253,849","25,952","18,208",13.5,90,KNOXB,91
2012KNOXB91,McCall (Int),SFSR-Knox,2012,"241,265","25,962","18,102",12.9,91,KNOXB,91
2011IMNAHW1,Imnaha (Volitional),Imnaha Weir,2011,"252,588","20,757","14,570",16.9,92,IMNAHW,1
2012IMNAHW1,Imnaha (Volitional),Imnaha Weir,2012,"332,877","14,881","10,430",31.5,93,IMNAHW,1
2012IMNAHR1,Imnaha (Direct),Imnaha River,2012,"136,933","5,938","4,120",32.8,94,IMNAHR,1
